PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,POSTAL,GREEN_ROOF_AREA,ID
03 141785,1,Small Residential Projects,SFD - Detached,2010-02-18T00:00:00Z,2010-03-25T00:00:00Z,2010-11-29T00:00:00Z,Closed,M8Y,18.36,03 141785_1
09 176602,1,New Building,University,2010-12-06T00:00:00Z,2011-02-11T00:00:00Z,NA,Revision Issued,M5S,375,09 176602_1
10 115481,0,New Building,Mixed Use/Res w Non Res,2010-02-08T00:00:00Z,2012-06-18T00:00:00Z,NA,Inspection,M5A,615,10 115481_0
10 120075,0,Building Additions/Alterations,Office,2010-02-18T00:00:00Z,2010-06-04T00:00:00Z,2015-11-09T00:00:00Z,Closed,M5B,1470,10 120075_0
10 131477,0,New Building,Apartment Building,2010-03-12T00:00:00Z,2012-08-16T00:00:00Z,2015-01-07T00:00:00Z,Closed,NA,300,10 131477_0
10 132321,0,New Building,Apartment Building,2010-03-15T00:00:00Z,2011-03-01T00:00:00Z,2017-07-14T00:00:00Z,Closed,M9R,0,10 132321_0
10 139082,0,New Building,Apartment Building,2010-03-25T00:00:00Z,2021-03-31T00:00:00Z,NA,Inspection,M2N,1317,10 139082_0
10 155366,0,Building Additions/Alterations,Office,2010-04-20T00:00:00Z,2010-05-19T00:00:00Z,2015-06-09T00:00:00Z,Closed,M5H,270,10 155366_0
10 155781,0,Building Additions/Alterations,Secondary School,2010-04-20T00:00:00Z,2010-08-06T00:00:00Z,2025-11-03T00:00:00Z,Closed,M2L,275,10 155781_0
10 216000,0,New Building,Mixed Use/Res w Non Res,2010-07-09T00:00:00Z,2012-04-12T00:00:00Z,2017-11-17T00:00:00Z,Closed,M5T,2195,10 216000_0
10 222037,0,New Building,Mixed Use/Res w Non Res,2010-07-16T00:00:00Z,2012-09-11T00:00:00Z,NA,Inspection,NA,336,10 222037_0
10 227495,0,New Building,Multiple Use/Non Residential,2010-07-23T00:00:00Z,2011-04-13T00:00:00Z,2012-09-26T00:00:00Z,Closed,M6J,1220,10 227495_0
10 240746,0,New Building,Mixed Use/Res w Non Res,2010-08-17T00:00:00Z,2013-06-21T00:00:00Z,NA,Inspection,M5V,620,10 240746_0
10 255756,0,New Building,Mixed Use/Res w Non Res,2010-09-10T00:00:00Z,2014-01-23T00:00:00Z,2019-01-23T00:00:00Z,Closed,NA,1051.9,10 255756_0
10 272513,0,New Building,Apartment Building,2010-10-06T00:00:00Z,2013-10-02T00:00:00Z,NA,Inspection,NA,744.9,10 272513_0
10 275713,1,Small Residential Projects,SFD - Detached,2011-08-09T00:00:00Z,2011-08-15T00:00:00Z,2011-09-12T00:00:00Z,Closed,M6S,152,10 275713_1
10 275713,0,Small Residential Projects,SFD - Detached,2010-10-12T00:00:00Z,2010-11-12T00:00:00Z,2011-09-12T00:00:00Z,Closed,M6S,152,10 275713_0
